timestamp,message
1668209639657,"2022-11-11 23:33:59,657 senzing-50100297I Enter {""azure_failure_connection_string"": null, ""azure_failure_queue_name"": null, ""azure_info_connection_string"": null, ""azure_info_queue_name"": null, ""azure_queue_connection_string"": null, ""azure_queue_name"": null, ""config_path"": ""/etc/opt/senzing"", ""debug"": false, ""delay_in_seconds"": 0, ""exit_on_thread_termination"": true, ""expiration_warning_in_days"": 30, ""kafka_bootstrap_server"": ""localhost:9092"", ""kafka_failure_bootstrap_server"": null, ""kafka_failure_topic"": ""senzing-kafka-failure-topic"", ""kafka_info_bootstrap_server"": null, ""kafka_info_topic"": ""senzing-kafka-info-topic"", ""kafka_redo_bootstrap_server"": null, ""kafka_redo_group"": ""senzing-kafka-redo-group"", ""kafka_redo_topic"": ""senzing-kafka-redo-topic"", ""license_base64_encoded"": null, ""log_level_parameter"": ""info"", ""log_license_period_in_seconds"": 1800, ""monitoring_period_in_seconds"": 600, ""processed_redo_records"": 0, ""program_updated"": ""2022-10-31"", ""program_version"": ""2.1.3"", ""pstack_pid"": ""1"", ""queue_maxsize"": 10, ""rabbitmq_delivery_mode"": 1, ""rabbitmq_exchange"": ""senzing-rabbitmq-exchange"", ""rabbitmq_failure_exchange"": null, ""rabbitmq_failure_host"": null, ""rabbitmq_failure_password"": null, ""rabbitmq_failure_queue"": ""senzing-rabbitmq-failure-queue"", ""rabbitmq_failure_routing_key"": ""senzing.failure"", ""rabbitmq_failure_username"": null, ""rabbitmq_failure_virtual_host"": null, ""rabbitmq_heartbeat_in_seconds"": 60, ""rabbitmq_host"": ""localhost:5672"", ""rabbitmq_info_exchange"": null, ""rabbitmq_info_host"": null, ""rabbitmq_info_password"": null, ""rabbitmq_info_queue"": ""senzing-rabbitmq-info-queue"", ""rabbitmq_info_routing_key"": ""senzing.info"", ""rabbitmq_info_username"": null, ""rabbitmq_info_virtual_host"": null, ""rabbitmq_password"": ""bitnami"", ""rabbitmq_prefetch_count"": 50, ""rabbitmq_reconnect_delay_in_seconds"": 60, ""rabbitmq_redo_exchange"": null, ""rabbitmq_redo_host"": null, ""rabbitmq_redo_password"": null, ""rabbitmq_redo_queue"": ""senzing-rabbitmq-redo-queue"", ""rabbitmq_redo_routing_key"": ""senzing.redo"", ""rabbitmq_redo_username"": null, ""rabbitmq_redo_virtual_host"": null, ""rabbitmq_use_existing_entities"": true, ""rabbitmq_username"": ""user"", ""rabbitmq_virtual_host"": ""/"", ""received_from_redo_queue"": 0, ""redo_records_from_senzing_engine"": 0, ""redo_retry_limit"": 5, ""redo_retry_sleep_time_in_seconds"": 60, ""redo_sleep_time_in_seconds"": 10, ""resource_path"": ""/opt/senzing/g2/resources"", ""run_as_gid"": 0, ""run_as_uid"": 1001, ""run_gdb"": false, ""sent_to_failure_queue"": 0, ""sent_to_info_queue"": 0, ""sent_to_redo_queue"": 0, ""senzing_sdk_version_major"": 3, ""sleep_time_in_seconds"": 0, ""sqs_failure_queue_url"": null, ""sqs_info_queue_url"": null, ""sqs_redo_queue_url"": null, ""start_time"": 1668209639.6576936, ""subcommand"": ""redo"", ""support_path"": ""/opt/senzing/data"", ""threads_per_process"": 20, ""threads_per_read_process"": 1}"
1668209639672,"2022-11-11 23:33:59,672 senzing-50100160I -------------------- LICENSE --------------------"
1668209639672,"2022-11-11 23:33:59,672 senzing-50100161I           Version: 3.4.0 (2022-11-09)"
1668209639672,"2022-11-11 23:33:59,672 senzing-50100162I          Customer: Senzing Internal"
1668209639672,"2022-11-11 23:33:59,672 senzing-50100163I              Type: EVAL (Solely for non-productive use)"
1668209639672,"2022-11-11 23:33:59,672 senzing-50100164I   Expiration date: 2023-07-28"
1668209639674,"2022-11-11 23:33:59,674 senzing-50100165I   Expiration time: 258 days until expiration"
1668209639674,"2022-11-11 23:33:59,674 senzing-50100166I           Records: 100000000"
1668209639674,"2022-11-11 23:33:59,674 senzing-50100167I          Contract: Senzing Internal - 100M"
1668209639674,"2022-11-11 23:33:59,674 senzing-50100299I -------------------------------------------------"
1668209641054,"2022-11-11 23:34:01,053 senzing-50100129I Process-0-QueueRedoRecordsInternalThread-0 is running."
1668209641054,"2022-11-11 23:34:01,054 senzing-50100129I Process-0-ProcessRedoThread-0 is running."
1668209641054,"2022-11-11 23:34:01,054 senzing-50100129I Process-0-ProcessRedoThread-1 is running."
1668209641055,"2022-11-11 23:34:01,054 senzing-50100129I Process-0-ProcessRedoThread-2 is running."
1668209641055,"2022-11-11 23:34:01,055 senzing-50100129I Process-0-ProcessRedoThread-3 is running."
1668209641055,"2022-11-11 23:34:01,055 senzing-50100129I Process-0-ProcessRedoThread-4 is running."
1668209641055,"2022-11-11 23:34:01,055 senzing-50100129I Process-0-ProcessRedoThread-5 is running."
1668209641056,"2022-11-11 23:34:01,056 senzing-50100129I Process-0-ProcessRedoThread-6 is running."
1668209641056,"2022-11-11 23:34:01,056 senzing-50100129I Process-0-ProcessRedoThread-7 is running."
1668209641056,"2022-11-11 23:34:01,056 senzing-50100129I Process-0-ProcessRedoThread-8 is running."
1668209641056,"2022-11-11 23:34:01,056 senzing-50100129I Process-0-ProcessRedoThread-9 is running."
1668209641057,"2022-11-11 23:34:01,057 senzing-50100129I Process-0-ProcessRedoThread-10 is running."
1668209641057,"2022-11-11 23:34:01,057 senzing-50100129I Process-0-ProcessRedoThread-11 is running."
1668209641057,"2022-11-11 23:34:01,057 senzing-50100129I Process-0-ProcessRedoThread-12 is running."
1668209641057,"2022-11-11 23:34:01,057 senzing-50100129I Process-0-ProcessRedoThread-13 is running."
1668209641057,"2022-11-11 23:34:01,057 senzing-50100129I Process-0-ProcessRedoThread-14 is running."
1668209641058,"2022-11-11 23:34:01,057 senzing-50100129I Process-0-ProcessRedoThread-15 is running."
1668209641058,"2022-11-11 23:34:01,058 senzing-50100129I Process-0-ProcessRedoThread-16 is running."
1668209641058,"2022-11-11 23:34:01,058 senzing-50100129I Process-0-ProcessRedoThread-17 is running."
1668209641058,"2022-11-11 23:34:01,058 senzing-50100129I Process-0-ProcessRedoThread-18 is running."
1668209641058,"2022-11-11 23:34:01,058 senzing-50100129I Process-0-ProcessRedoThread-19 is running."
1668209641059,"2022-11-11 23:34:01,058 senzing-50100129I Process-0-MonitorThread-0 is running."
1668210241070,"2022-11-11 23:44:01,070 senzing-50100127I Monitor: {""processed_redo_records_interval"": 0, ""processed_redo_records_total"": 0, ""received_from_redo_queue_interval"": 0, ""received_from_redo_queue_total"": 0, ""redo_records_from_senzing_engine_interval"": 0, ""redo_records_from_senzing_engine_total"": 0, ""sent_to_failure_queue_interval"": 0, ""sent_to_failure_queue_total"": 0, ""sent_to_info_queue_interval"": 0, ""sent_to_info_queue_total"": 0, ""sent_to_redo_queue_interval"": 0, ""sent_to_redo_queue_total"": 0, ""uptime"": 601, ""workers_active"": 21, ""workers_total"": 21}"
1668210241070,"2022-11-11 23:44:01,070 senzing-50100125I G2 engine statistics: {""workload"": {""CorruptEntityTestDiagnosis"": {}, ""abortedUnresolve"": 0, ""actualAmbiguousTest"": 0, ""addedRecords"": 0, ""cacheHit"": [], ""cacheMiss"": [], ""cachedAmbiguousTest"": 0, ""candidateBuilders"": [], ""candidates"": 0, ""deletedRecords"": 0, ""duration"": 0, ""expressedFeatureCalls"": [], ""expressedFeaturesCreated"": [], ""filteredObsFeat"": 0, ""genericDetect"": [], ""gnrScorersUsed"": 0, ""highContentionFeat"": [], ""highContentionResEnt"": [], ""latchContention"": [], ""libFeatCacheHit"": 0, ""libFeatCacheMiss"": 0, ""loadedRecords"": -1, ""redoTriggers"": [], ""reducedScoredFeatureType"": [], ""reevaluations"": 0, ""repairedEntities"": 0, ""reresolveSkipped"": 0, ""reresolveTriggers"": {""abortRetry"": 0, ""multipleResolvableCandidates"": 0, ""newFeatureFTypes"": [], ""resolveNewFeatures"": 0, ""unresolveMovement"": 0}, ""resFeatStatCacheHit"": 0, ""resFeatStatCacheMiss"": 0, ""resFeatStatUpdate"": 0, ""retries"": 0, ""scoredPairs"": [], ""suppressedCandidateBuilders"": [], ""suppressedDisclosedRelationshipDomainCount"": 0, ""suppressedScoredFeatureType"": [], ""systemResources"": {""currResources"": [{""availableMemory"": ""29.9GB""}, {""activeThreads"": 0}, {""workerThreads"": 1}, {""systemLoad"": []}], ""initResources"": [{""physicalCores"": 4}, {""logicalCores"": 4}, {""totalMemory"": ""31.0GB""}, {""availableMemory"": ""29.9GB""}]}, ""threadState"": {""active"": 0, ""dataLatchContention"": 0, ""idle"": 1, ""loader"": 0, ""obsEntContention"": 0, ""resEntContention"": 0, ""resolver"": 0, ""scoring"": 0, ""sqlExecuting"": 0}, ""unresolveTest"": 0, ""unresolveTriggers"": {""ambiguousMultiResolve"": 0, ""ambiguousNoResolve"": 0, ""extensiveResolve"": 0, ""normalResolve"": 0, ""relLink"": 0, ""update"": 0}}}"
1668210841103,"2022-11-11 23:54:01,102 senzing-50100127I Monitor: {""processed_redo_records_interval"": 0, ""processed_redo_records_total"": 0, ""received_from_redo_queue_interval"": 0, ""received_from_redo_queue_total"": 0, ""redo_records_from_senzing_engine_interval"": 0, ""redo_records_from_senzing_engine_total"": 0, ""sent_to_failure_queue_interval"": 0, ""sent_to_failure_queue_total"": 0, ""sent_to_info_queue_interval"": 0, ""sent_to_info_queue_total"": 0, ""sent_to_redo_queue_interval"": 0, ""sent_to_redo_queue_total"": 0, ""uptime"": 1201, ""workers_active"": 21, ""workers_total"": 21}"
1668210841103,"2022-11-11 23:54:01,103 senzing-50100125I G2 engine statistics: {""workload"": {""CorruptEntityTestDiagnosis"": {}, ""abortedUnresolve"": 0, ""actualAmbiguousTest"": 0, ""addedRecords"": 0, ""cacheHit"": [], ""cacheMiss"": [], ""cachedAmbiguousTest"": 0, ""candidateBuilders"": [], ""candidates"": 0, ""deletedRecords"": 0, ""duration"": 0, ""expressedFeatureCalls"": [], ""expressedFeaturesCreated"": [], ""filteredObsFeat"": 0, ""genericDetect"": [], ""gnrScorersUsed"": 0, ""highContentionFeat"": [], ""highContentionResEnt"": [], ""latchContention"": [], ""libFeatCacheHit"": 0, ""libFeatCacheMiss"": 0, ""loadedRecords"": -1, ""redoTriggers"": [], ""reducedScoredFeatureType"": [], ""reevaluations"": 0, ""repairedEntities"": 0, ""reresolveSkipped"": 0, ""reresolveTriggers"": {""abortRetry"": 0, ""multipleResolvableCandidates"": 0, ""newFeatureFTypes"": [], ""resolveNewFeatures"": 0, ""unresolveMovement"": 0}, ""resFeatStatCacheHit"": 0, ""resFeatStatCacheMiss"": 0, ""resFeatStatUpdate"": 0, ""retries"": 0, ""scoredPairs"": [], ""suppressedCandidateBuilders"": [], ""suppressedDisclosedRelationshipDomainCount"": 0, ""suppressedScoredFeatureType"": [], ""systemResources"": {""currResources"": [{""availableMemory"": ""29.9GB""}, {""activeThreads"": 0}, {""workerThreads"": 1}, {""systemLoad"": [{""cpuUser"": 0.081739}, {""cpuNice"": 0.03378}, {""cpuSystem"": 0.158473}, {""cpuIdle"": 99.70224}, {""cpuWait"": 0.022103}, {""cpuSoftIrq"": 0.000834}, {""cpuSteal"": 0.000834}]}], ""initResources"": [{""physicalCores"": 4}, {""logicalCores"": 4}, {""totalMemory"": ""31.0GB""}, {""availableMemory"": ""29.9GB""}]}, ""threadState"": {""active"": 0, ""dataLatchContention"": 0, ""idle"": 1, ""loader"": 0, ""obsEntContention"": 0, ""resEntContention"": 0, ""resolver"": 0, ""scoring"": 0, ""sqlExecuting"": 0}, ""unresolveTest"": 0, ""unresolveTriggers"": {""ambiguousMultiResolve"": 0, ""ambiguousNoResolve"": 0, ""extensiveResolve"": 0, ""normalResolve"": 0, ""relLink"": 0, ""update"": 0}}}"
1668211441178,"2022-11-12 00:04:01,177 senzing-50100160I -------------------- LICENSE --------------------"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100161I           Version: 3.4.0 (2022-11-09)"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100162I          Customer: Senzing Internal"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100163I              Type: EVAL (Solely for non-productive use)"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100164I   Expiration date: 2023-07-28"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100165I   Expiration time: 257 days until expiration"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100166I           Records: 100000000"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100167I          Contract: Senzing Internal - 100M"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100299I -------------------------------------------------"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100127I Monitor: {""processed_redo_records_interval"": 0, ""processed_redo_records_total"": 0, ""received_from_redo_queue_interval"": 0, ""received_from_redo_queue_total"": 0, ""redo_records_from_senzing_engine_interval"": 0, ""redo_records_from_senzing_engine_total"": 0, ""sent_to_failure_queue_interval"": 0, ""sent_to_failure_queue_total"": 0, ""sent_to_info_queue_interval"": 0, ""sent_to_info_queue_total"": 0, ""sent_to_redo_queue_interval"": 0, ""sent_to_redo_queue_total"": 0, ""uptime"": 1801, ""workers_active"": 21, ""workers_total"": 21}"
1668211441178,"2022-11-12 00:04:01,178 senzing-50100125I G2 engine statistics: {""workload"": {""CorruptEntityTestDiagnosis"": {}, ""abortedUnresolve"": 0, ""actualAmbiguousTest"": 0, ""addedRecords"": 0, ""cacheHit"": [], ""cacheMiss"": [], ""cachedAmbiguousTest"": 0, ""candidateBuilders"": [], ""candidates"": 0, ""deletedRecords"": 0, ""duration"": 0, ""expressedFeatureCalls"": [], ""expressedFeaturesCreated"": [], ""filteredObsFeat"": 0, ""genericDetect"": [], ""gnrScorersUsed"": 0, ""highContentionFeat"": [], ""highContentionResEnt"": [], ""latchContention"": [], ""libFeatCacheHit"": 0, ""libFeatCacheMiss"": 0, ""loadedRecords"": -1, ""redoTriggers"": [], ""reducedScoredFeatureType"": [], ""reevaluations"": 0, ""repairedEntities"": 0, ""reresolveSkipped"": 0, ""reresolveTriggers"": {""abortRetry"": 0, ""multipleResolvableCandidates"": 0, ""newFeatureFTypes"": [], ""resolveNewFeatures"": 0, ""unresolveMovement"": 0}, ""resFeatStatCacheHit"": 0, ""resFeatStatCacheMiss"": 0, ""resFeatStatUpdate"": 0, ""retries"": 0, ""scoredPairs"": [], ""suppressedCandidateBuilders"": [], ""suppressedDisclosedRelationshipDomainCount"": 0, ""suppressedScoredFeatureType"": [], ""systemResources"": {""currResources"": [{""availableMemory"": ""29.9GB""}, {""activeThreads"": 0}, {""workerThreads"": 1}, {""systemLoad"": [{""cpuUser"": 0.084644}, {""cpuSystem"": 0.085061}, {""cpuIdle"": 99.823204}, {""cpuWait"": 0.005838}, {""cpuSoftIrq"": 0.000417}, {""cpuSteal"": 0.000834}]}], ""initResources"": [{""physicalCores"": 4}, {""logicalCores"": 4}, {""totalMemory"": ""31.0GB""}, {""availableMemory"": ""29.9GB""}]}, ""threadState"": {""active"": 0, ""dataLatchContention"": 0, ""idle"": 1, ""loader"": 0, ""obsEntContention"": 0, ""resEntContention"": 0, ""resolver"": 0, ""scoring"": 0, ""sqlExecuting"": 0}, ""unresolveTest"": 0, ""unresolveTriggers"": {""ambiguousMultiResolve"": 0, ""ambiguousNoResolve"": 0, ""extensiveResolve"": 0, ""normalResolve"": 0, ""relLink"": 0, ""update"": 0}}}"
